,name,image_url,description,website,linkedin,crunchbase_url,headquarters_location
0,Mikat,https://images.crunchbase.com/image/upload/t_cb-default-original/wla4cdpfd4yud2da0vvh,Mikat Inc. offers property management and construction services with over 30 years of experience.,https://www.mikatllc.com,,https://www.crunchbase.com/organization/mikat,"New York, New York, United States, North America"
1,Ag-Biotech,https://images.crunchbase.com/image/upload/t_cb-default-original/tofwgcfss0sywmxvcegy,Ag-Biotech is a biotechnology company specialized in plant genomics and biotechnology services.,https://agbiotech.net/,https://www.linkedin.com/company/ag-biotech-inc/,https://www.crunchbase.com/organization/ag-biotech,"Monterey, California, United States, North America"
2,MPACT Collective,https://images.crunchbase.com/image/upload/t_cb-default-original/x2huable8hee9kaah7as,"Mpactcollective is an impact real estate development company specializing in zoning, entitlements, and placemaking.",https://www.mpactcollective.com,https://www.linkedin.com/company/mpact-collective/,https://www.crunchbase.com/organization/mpact-collective,"Huntington Station, New York, United States, North America"
3,Tutorial Systems,https://images.crunchbase.com/image/upload/t_cb-default-original/l1lerpvjuw2alyi1hrit,Tutorial Systems Inc. offers online respiratory therapy exam prep for NBRC TMC and CSE exams.,https://www.tutorialsystems.com,,https://www.crunchbase.com/organization/tutorial-systems,"Florida, New York, United States, North America"
4,Jimeta Systems,https://images.crunchbase.com/image/upload/t_cb-default-original/mowqkjuuiydffkxh2mxr,"Jimeta Systems is a database administration solution company that offers IT training, Oracle applications, and cloud services.",https://www.jimeta.io,https://www.linkedin.com/company/jimeta-systems/,https://www.crunchbase.com/organization/jimeta-systems,"Hicksville, New York, United States, North America"
5,"Bentley Records, LLC",,Award winning international record label,https://www.bentley-music.com/,,https://www.crunchbase.com/organization/bentley-records-llc,"New York, New York, United States, North America"
6,EZ Dental Billing,https://images.crunchbase.com/image/upload/t_cb-default-original/pnh38wyjwb9pnzxn6r20,EZ Dental Billing is a management consulting company that provides dental billing solutions.,https://www.ezdentalbilling.com,https://www.linkedin.com/company/ez-dental-billing-llc,https://www.crunchbase.com/organization/ez-dental-billing,"Boston, Massachusetts, United States, North America"
7,Brightfluence,https://images.crunchbase.com/image/upload/t_cb-default-original/wqffnaf5kztlotlin9oa,"Brightfluence offers advertising, website design, PR, and marketing services for businesses seeking to boost their digital presence.",https://brightfluence.com,https://www.linkedin.com/company/brightfluence,https://www.crunchbase.com/organization/brightfluence,"New York, New York, United States, North America"
8,Quick Access Capital,https://images.crunchbase.com/image/upload/t_cb-default-original/qypxww89dhfvvzf7udn6,"Quick Access Capital offers Merchant Cash Advances and funding solutions for businesses, streamlining the funding process.",http://www.quickaccesscapital.com,,https://www.crunchbase.com/organization/quick-access-capital,"New York, New York, United States, North America"
9,Sustainable Business Hub,https://images.crunchbase.com/image/upload/t_cb-default-original/i2jo2xjkl77s1qqlz3jx,Sustainable Business Hub is a Management Consulting company located in Malmö.,https://www.sbhub.se/,https://www.linkedin.com/company/sustainable-business-hub/,https://www.crunchbase.com/organization/sustainable-business-hub,"Malmö, Skane Lan, Sweden, Europe"
10,Rolling Steel Industries,https://images.crunchbase.com/image/upload/t_cb-default-original/t4cseegqe2r8hd4mpwsj,"Rolling Steel Industries designs, manufactures, supplies, and installs doors, barrier gate arms, and fencing products.",https://rollingsteeldoors.com,https://www.linkedin.com/company/rolling-steel-industries-inc,https://www.crunchbase.com/organization/rolling-steel-industries,"Brooklyn, New York, United States, North America"
11,WPGroupbuy,https://images.crunchbase.com/image/upload/t_cb-default-original/fg9yg5c4ux9uq3j0cfxq,WPGroupbuy provides WordPress themes and plugins for building online daily deals websites.,https://wpgroupbuy.com,https://www.linkedin.com/company/wpgroupbuy,https://www.crunchbase.com/organization/wpgroupbuy,"Troy, New York, United States, North America"
12,Trading Physics,https://images.crunchbase.com/image/upload/t_cb-default-original/sa6kenpycm25vybsf8zp,Trading Physics offers software for low-latency trading data normalization and event-driven indicators.,http://tradingphysics.com,https://www.linkedin.com/company/www.tradingphysics.com,https://www.crunchbase.com/organization/trading-physics,"New York, New York, United States, North America"
13,Khan Construction & Development,https://images.crunchbase.com/image/upload/t_cb-default-original/q14sbg9kiclifljorajl,Khan Construction & Development is a construction company that builds and develops residential and commercial properties.,https://www.khandevelopment.com,,https://www.crunchbase.com/organization/khan-construction-development,"Albany, New York, United States, North America"
14,Satya Systems,https://images.crunchbase.com/image/upload/t_cb-default-original/z4nxpj5dlseqzchomhup,SATYA Systems develops AI-based software for data automation and system optimization.,https://satya.systems,https://www.linkedin.com/company/satyasystems,https://www.crunchbase.com/organization/satya-systems,"New York, New York, United States, North America"
15,Referazon,https://images.crunchbase.com/image/upload/t_cb-default-original/wuqqromswan0hfbginx8,Referazon simplifies finding and managing Amazon influencers for enhanced influencer marketing campaigns.,https://referazon.com,https://www.linkedin.com/company/referazon,https://www.crunchbase.com/organization/referazon,"East Amherst, New York, United States, North America"
16,Popcorn Time,https://images.crunchbase.com/image/upload/t_cb-default-original/v1487452388/kuwwwoyhsc0lqwyupto2.png,Popcorn Time is a BitTorrent site that allows users to stream movies to various devices.,https://popcorntime.sh,,https://www.crunchbase.com/organization/popcorn-time,
17,Gr0wth Dr1vers,https://images.crunchbase.com/image/upload/t_cb-default-original/dtxyusmaaschos4vz2vb,GR0WTH DR1VERS applies for-profit marketing strategies to help nonprofits generate revenue.,https://gr0wthdr1vers.com,https://www.linkedin.com/company/gr0wth-dr1vers,https://www.crunchbase.com/organization/gr0wth-dr1vers,"White Plains, New York, United States, North America"
18,MAC Security,https://images.crunchbase.com/image/upload/t_cb-default-original/cbz4fg6x61p6hhebwvvw,Mac Security is a NY-based security company that offers a diverse security solutions for homes.,https://mac-secure.com/,https://www.linkedin.com/in/michael-cooper-3015b4255/,https://www.crunchbase.com/organization/mac-security,"Rochester, New York, United States, North America"
19,SINO-SCI,https://images.crunchbase.com/image/upload/t_cb-default-original/h4rz1zvayntvcloowk6u,"Sino-Sci specializes in the research and development, manufacture, and sales of traditional Chinese medicines and dietary supplements.",https://www.uszhongke.com,https://www.linkedin.com/company/zhongke-health-international-new-york-llc,https://www.crunchbase.com/organization/sino-sci,"Flushing, New York, United States, North America"
20,Crosby Street Ventures,https://images.crunchbase.com/image/upload/t_cb-default-original/nyawhjyosa6nplzxbmyq,"Crosby Street Ventures specializes in venture capital and private equity, focusing on strategy and investment thesis-to-market.",https://www.crosbystreet.com,https://www.linkedin.com/company/crosby-street-capital-llc/,https://www.crunchbase.com/organization/crosby-street-ventures,"New York, New York, United States, North America"
21,Prediction Marketing,,Prediction Marketing uses AI to offer market insights and customer behavior predictions for B2B companies.,https://www.predictionmarketing.ai,,https://www.crunchbase.com/organization/prediction-marketing,"New City, New York, United States, North America"
22,JW Brower & Associates,https://images.crunchbase.com/image/upload/t_cb-default-original/xacvqzenv1qdd4h1basn,JW Brower & Associates is a financial services company that offers retirement planning and tax preparation services.,https://jwbrower.com,https://www.linkedin.com/company/brower-associates,https://www.crunchbase.com/organization/jw-brower-associates,"Long Island City, New York, United States, North America"
23,Bluebird Music,https://images.crunchbase.com/image/upload/t_cb-default-original/v8ugnecejafqqknhajit,Bluebird Music is an importer and distributor of two-channel audio products.,https://www.bluebirdmusic.com,https://www.linkedin.com/company/bluebird-music,https://www.crunchbase.com/organization/bluebird-music,"Buffalo, New York, United States, North America"
24,Corporate Comm,https://images.crunchbase.com/image/upload/t_cb-default-original/qokhbyoxpylgbxi75wae,"Corporate Communication Int'l offers services in business writing, corporate communication, and intercultural communication.",https://www.corporatecomm.org,https://www.linkedin.com/company/corporate-communication-international-cci/about/,https://www.crunchbase.com/organization/corporate-comm,"New York, New York, United States, North America"
25,Robert V. Moriarty MD,https://images.crunchbase.com/image/upload/t_cb-default-original/oky3sdl4f93uko9uuuvs,"Robert V. Moriarty MD is an orthopedic healthcare center that treats athletic injuries, fractures, and arthritis.",https://robertmoriartymd.com,https://www.linkedin.com/company/robert-moriarty,https://www.crunchbase.com/organization/robert-v-moriarty-md,"Huntington, New York, United States, North America"
26,Compliance and Capacity Skills International,https://images.crunchbase.com/image/upload/t_cb-default-original/sp2kmendbtbjqu6a7hda,"Capacity Skills International is a non-profit organization that offers security, nonproliferation, and human rights services.",https://www.comcapint.com,https://www.linkedin.com/company/compliance-and-capacity-skills-international-llc,https://www.crunchbase.com/organization/compliance-and-capacity-skills-international,"New York, New York, United States, North America"
